,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
704,w160032107,th,20257.197734231464,r1,0.1145,,20257.197734231464,,-50513.585380900666,
705,w160032108,mfh,40330.07410854087,r1,0.1145,71444.3685460701,15892.879065874109,-10507.492949920284,-100567.54486121527,-111075.03781113555
706,w160032109,mfh,17028.88358269568,r1,0.1145,62605.31079685027,12173.84675432335,-50498.734133337886,-42463.42342516263,-92962.15755850052
707,w160032110,mfh,65959.80261416038,r2,0.1054,107786.7142835093,27759.583627761367,-20100.806063962053,-151406.07440664127,-171506.88047060333
708,w160032111,th,69929.77168637945,r2,0.1054,126523.21994909427,29680.37219464188,-34133.56241909467,-160518.8583889788,-194652.42080807348
709,w160032112,th,34498.60299221215,r1,0.1145,64653.17808213768,14784.277193453934,-15493.304513857714,-86026.12022807598,-101519.42474193369
710,w160032113,mfh,34893.95820829047,r1,0.1145,63151.17028016465,13847.210707174945,-10668.754358869322,-87011.98262252795,-97680.73698139728
711,w160032114,mfh,78514.11913885121,r2,0.1054,121867.56960354626,38441.58971886041,-29883.904847658618,-180223.62246664413,-210107.52731430274
712,w160032115,mfh,38709.485322553875,r1,0.1145,75245.13816416154,18194.998750903073,-24089.974326702097,-96526.42569546061,-120616.4000221627
713,w160032116,mfh,25401.90433957016,r1,0.1145,,25401.90433957016,,-63342.48599084575,
714,w160032117,mfh,38132.472874110405,r1,0.1145,,38132.472874110405,,-95087.5807000821,
715,w160032118,mfh,59239.686577529654,r2,0.1054,100681.53777192332,24193.179771566014,-20234.75341454515,-135980.52204992544,-156215.2754644706
716,w160032119,mfh,86774.96745952926,r2,0.1054,128372.18747617392,37828.96424629396,-16020.089520989073,-199185.8171053838,-215205.90662637286
717,w160032121,mfh,40995.73368931806,r1,0.1145,68188.17649746308,17251.90075647625,-8980.276774187296,-102227.44138339724,-111207.71815758453
