,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,48.88,72.52,59.78,18.12,7.75,7.75,7.75,7.75
272,152.23,183.83,135.52,35.11,35.11,35.11,35.11,59.25
273,58.44,58.7,56.52,41.5,41.5,41.5,41.5,55.9
274,385.85,347.48,162.83,70.68,70.68,70.68,70.68,255.46
275,192.64,162.58,73.42,73.42,73.42,73.42,101.52,167.35
276,472.81,279.28,63.38,63.38,63.38,63.38,204.74,441.93
277,243.99,121.23,52.44,52.44,52.44,52.44,173.64,265.7
278,71.24,35.34,25.54,25.54,25.54,25.54,69.29,85.3
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,171.01,270.46,217.69,43.6,7.3,7.3,7.3,7.3
296,508.78,652.06,436.01,24.62,24.62,24.62,24.62,90.12
297,515.14,545.34,298.13,49.25,49.25,49.25,49.25,225.22
298,895.36,784.7,246.5,27.36,27.36,27.36,27.36,513.64
299,978.41,683.83,18.7,18.7,18.7,18.7,80.88,728.66
300,848.27,448.97,30.55,30.55,30.55,30.55,293.55,783.9
301,481.96,185.88,45.14,45.14,45.14,45.14,311.99,534.2
302,299.67,47.35,26.45,26.45,26.45,26.45,286.04,398.54
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
