,time,G(i),H_sun,T2m,WS10m,Int
348,20150115:1210,220.43,19.04,5.53,5.43,0.0
349,20150115:1310,194.86,15.04,5.6,5.41,0.0
350,20150115:1410,197.97,9.02,5.67,5.39,0.0
351,20150115:1510,0.0,1.43,5.74,5.37,1.0
352,20150115:1610,0.0,0.0,5.12,4.83,0.0
353,20150115:1710,0.0,0.0,4.5,4.3,0.0
354,20150115:1810,0.0,0.0,3.89,3.77,0.0
355,20150115:1910,0.0,0.0,3.55,3.55,0.0
356,20150115:2010,0.0,0.0,3.21,3.33,0.0
357,20150115:2110,0.0,0.0,2.87,3.12,0.0
358,20150115:2210,0.0,0.0,2.54,3.14,0.0
359,20150115:2310,0.0,0.0,2.2,3.17,0.0
360,20150116:0010,0.0,0.0,1.87,3.2,0.0
361,20150116:0110,0.0,0.0,1.52,2.97,0.0
362,20150116:0210,0.0,0.0,1.18,2.75,0.0
363,20150116:0310,0.0,0.0,0.83,2.52,0.0
364,20150116:0410,0.0,0.0,0.43,1.98,0.0
365,20150116:0510,0.0,0.0,0.04,1.43,0.0
366,20150116:0610,0.0,0.0,-0.36,0.88,0.0
367,20150116:0710,8.21,3.47,0.87,0.88,0.0
368,20150116:0810,33.29,10.74,2.1,0.88,0.0
369,20150116:0910,46.51,16.35,3.33,0.88,0.0
370,20150116:1010,49.7,19.82,5.03,0.94,0.0
371,20150116:1110,80.12,20.83,6.72,1.0,0.0
372,20150116:1210,103.35,19.24,8.42,1.06,0.0
373,20150116:1310,271.64,15.24,8.15,1.2,0.0
374,20150116:1410,460.81,9.22,7.87,1.34,0.0
375,20150116:1510,0.0,1.63,7.6,1.48,1.0
376,20150116:1610,0.0,0.0,7.19,1.15,0.0
377,20150116:1710,0.0,0.0,6.79,0.83,0.0
378,20150116:1810,0.0,0.0,6.39,0.51,0.0
379,20150116:1910,0.0,0.0,6.6,0.61,0.0
380,20150116:2010,0.0,0.0,6.81,0.7,0.0
381,20150116:2110,0.0,0.0,7.02,0.8,0.0
382,20150116:2210,0.0,0.0,7.08,0.94,0.0
383,20150116:2310,0.0,0.0,7.13,1.08,0.0
384,20150117:0010,0.0,0.0,7.18,1.21,0.0
385,20150117:0110,0.0,0.0,7.53,1.67,0.0
386,20150117:0210,0.0,0.0,7.88,2.12,0.0
387,20150117:0310,0.0,0.0,8.23,2.58,0.0
388,20150117:0410,0.0,0.0,8.18,2.91,0.0
389,20150117:0510,0.0,0.0,8.13,3.25,0.0
390,20150117:0610,0.0,0.0,8.08,3.59,0.0
391,20150117:0710,6.38,3.58,8.11,4.06,0.0
392,20150117:0810,24.62,10.88,8.15,4.54,0.0
393,20150117:0910,29.18,16.5,8.18,5.02,0.0
394,20150117:1010,39.22,20.0,8.4,4.49,0.0
395,20150117:1110,73.78,21.02,8.63,3.96,0.0
396,20150117:1210,34.71,19.45,8.85,3.43,0.0
397,20150117:1310,22.14,15.45,7.42,3.14,0.0
398,20150117:1410,7.18,9.43,5.99,2.86,0.0
399,20150117:1510,0.0,1.84,4.56,2.57,1.0
400,20150117:1610,0.0,0.0,4.27,3.04,0.0
401,20150117:1710,0.0,0.0,3.99,3.52,0.0
402,20150117:1810,0.0,0.0,3.71,4.0,0.0
403,20150117:1910,0.0,0.0,3.54,3.95,0.0
404,20150117:2010,0.0,0.0,3.38,3.9,0.0
405,20150117:2110,0.0,0.0,3.21,3.85,0.0
406,20150117:2210,0.0,0.0,3.02,3.76,0.0
407,20150117:2310,0.0,0.0,2.83,3.67,0.0
408,20150118:0010,0.0,0.0,2.64,3.59,0.0
409,20150118:0110,0.0,0.0,2.43,3.57,0.0
410,20150118:0210,0.0,0.0,2.23,3.56,0.0
411,20150118:0310,0.0,0.0,2.02,3.54,0.0
412,20150118:0410,0.0,0.0,1.91,3.47,0.0
413,20150118:0510,0.0,0.0,1.79,3.39,0.0
414,20150118:0610,0.0,0.0,1.68,3.31,0.0
415,20150118:0710,6.38,3.7,1.97,3.25,0.0
416,20150118:0810,36.94,11.02,2.27,3.18,0.0
417,20150118:0910,59.28,16.67,2.56,3.12,0.0
418,20150118:1010,76.15,20.19,2.88,2.36,0.0
419,20150118:1110,114.86,21.22,3.19,1.61,0.0
420,20150118:1210,285.79,19.66,3.51,0.86,0.0
421,20150118:1310,74.78,15.67,3.3,0.86,0.0
422,20150118:1410,324.17,9.64,3.08,0.87,0.0
423,20150118:1510,0.0,2.04,2.87,0.88,1.0
424,20150118:1610,0.0,0.0,2.3,1.18,0.0
425,20150118:1710,0.0,0.0,1.73,1.48,0.0
426,20150118:1810,0.0,0.0,1.17,1.78,0.0
427,20150118:1910,0.0,0.0,1.04,1.77,0.0
428,20150118:2010,0.0,0.0,0.92,1.75,0.0
429,20150118:2110,0.0,0.0,0.79,1.74,0.0
430,20150118:2210,0.0,0.0,0.63,1.69,0.0
431,20150118:2310,0.0,0.0,0.46,1.65,0.0
432,20150119:0010,0.0,0.0,0.29,1.6,0.0
433,20150119:0110,0.0,0.0,0.93,1.2,0.0
434,20150119:0210,0.0,0.0,1.56,0.81,0.0
435,20150119:0310,0.0,0.0,2.2,0.41,0.0
436,20150119:0410,0.0,0.0,2.17,0.81,0.0
437,20150119:0510,0.0,0.0,2.14,1.21,0.0
438,20150119:0610,0.0,0.0,2.11,1.61,0.0
439,20150119:0710,7.75,3.83,2.37,1.42,0.0
440,20150119:0810,28.73,11.17,2.64,1.23,0.0
441,20150119:0910,32.83,16.84,2.91,1.03,0.0
