,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.09052631578947369,npv_DH_25years_ir_0.09052631578947369,savings_npv_25years_ir_0.09052631578947369,operator_selling_price,savings/NFA [€/m2]
574,w159872868,54.98272090442479,other,4224.644532284528,4694.049480316143,5280.8056653556605,nr0,-6023.62055638929,-46220.0193944348,-40196.39883804551,0.15757669252596515,-731.0732931518248
575,w159872870,315.09365436807275,mfh,31898.453859637608,35442.72651070845,39873.06732454701,r1,-39692.52424213985,-173050.00307621236,-133357.4788340725,0.12851660721069608,-423.2312424746346
576,w159872874,56.548262861557305,th,8002.136153302619,8891.262392558465,10002.670191628273,r1,-9957.378644479426,-75894.40760848753,-65937.0289640081,0.12851660721069608,-1166.0310260181923
577,w159872876,86.08918008172186,other,7937.68920269375,8819.654669659722,9922.111503367187,nr1,-9230.207556412648,-82096.94813439499,-72866.74057798235,0.12851147942285265,-846.4099728771042
578,w159872878,413.8979488207959,mfh,50162.43549113898,55736.03943459887,62703.04436392373,r2,-57458.3068286037,-248798.8086624719,-191340.5018338682,0.11830262358085035,-462.2890796608232
579,w159872879,205.3686287334189,mfh,24818.81423974411,27576.460266382346,31023.51779968014,r1,-30883.044996695662,-150944.2169326804,-120061.17193598473,0.12851660721069608,-584.6130086977964
580,w159872883,329.8948070596903,th,39156.71300747444,43507.45889719382,48945.89125934305,r1,-48724.26692311628,-232055.019501345,-183330.7525782287,0.12851660721069608,-555.7248815530986
581,w159872884,900.053558271192,other,37872.08761787173,42080.09735319081,47340.10952233966,nr1,-44038.9161607602,-370175.5012362022,-326136.585075442,0.12851147942285265,-362.3524201180647
582,w159872887,1008.3728146322071,other,88468.71063231266,98298.56736923629,110585.88829039082,nr2,-94702.0820749047,-557083.1988168368,-462381.1167419321,0.11830262358085035,-458.5418309899405
583,w159872892,458.9937253634445,other,39669.41168931071,44077.124099234126,49586.76461163839,nr1,-46128.90404034216,-329472.50277148996,-283343.5987311478,0.12851147942285265,-617.314754154402
584,w159872895,353.7920229201671,th,49235.28637872616,54705.87375414018,61544.1079734077,r1,-61265.4395964033,-241537.47367736904,-180272.03408096574,0.12851660721069608,-509.5423932767529
585,w159872899,2008.66189844124,other,88487.55428171338,98319.5047574593,110609.44285214173,nr2,-94722.25341931997,-647941.2731696212,-553219.0197503013,0.11830262358085035,-275.41669415824026
587,w160025355,131.5437356668757,ab,17624.515829497526,19582.795366108363,22030.644786871908,r1,-21930.89122427627,-158991.0844781834,-137060.1932539071,0.12851660721069608,-1041.936300189934
588,w160025360,102.43726858533918,mfh,13880.324761630816,15422.583068478685,17350.40595203852,r1,-17271.844256593828,-83475.36520032372,-66203.52094372989,0.12851660721069608,-646.2835436555649
589,w160025362,106.2412323884666,mfh,14519.466568419666,16132.740631577406,18149.333210524583,r1,-18067.154015861877,-92256.14568625024,-74188.99167038836,0.12851660721069608,-698.3069567483878
590,w160025367,104.2175793532282,mfh,13913.980476902727,15459.978307669697,17392.475596128406,r1,-17313.72341162106,-77902.53060675897,-60588.80719513791,0.12851660721069608,-581.3683984136899
