,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
119,0.15,5764.0289999999995,363.73,0.0,0.0,-5764.0289999999995,-363.73,0.36373,0.0,-0.36373
120,0.154,0.0,0.0,5811.314,363.73,5811.314,363.73,0.0,0.36373,0.36373
121,0.161,0.0,0.0,1282.234,79.16,1282.234,79.16,0.0,0.07916,0.07916
122,0.163,1287.142,79.16,0.0,0.0,-1287.142,-79.16,0.07916,0.0,-0.07916
123,0.168,339.687,20.7,339.687,20.7,0.0,0.0,0.0207,0.0207,0.0
124,0.173,1088.391,65.74,1088.391,65.74,0.0,0.0,0.06573999999999999,0.06573999999999999,0.0
125,0.184,0.0,0.0,4636.544,274.97,4636.544,274.97,0.0,0.27497000000000005,0.27497000000000005
126,0.186,4651.392,274.97,0.0,0.0,-4651.392,-274.97,0.27497000000000005,0.0,-0.27497000000000005
127,0.191,601.794,35.3,0.0,0.0,-601.794,-35.3,0.0353,0.0,-0.0353
128,0.192,0.0,0.0,346.944,20.32,346.944,20.32,0.0,0.02032,0.02032
129,0.193,5501.241,321.71,0.0,0.0,-5501.241,-321.71,0.32171,0.0,-0.32171
130,0.194,7679.707,448.45,604.512,35.3,-7075.195000000001,-413.15,0.44845,0.0353,-0.41314999999999996
131,0.197,0.0,0.0,2614.876,152.01,2614.876,152.01,0.0,0.15200999999999998,0.15200999999999998
132,0.199,0.0,0.0,5004.287,290.07,5004.287,290.07,0.0,0.29007,0.29007
133,0.2,0.0,0.0,2232.533,129.22,2232.533,129.22,0.0,0.12922,0.12922
134,0.201,0.0,0.0,3088.921,178.54,3088.921,178.54,0.0,0.17854,0.17854
135,0.225,0.0,0.0,799.146,44.74,799.146,44.74,0.0,0.04474,0.04474
136,0.226,0.0,0.0,4190.221,234.3,4190.221,234.3,0.0,0.2343,0.2343
137,0.229,803.083,44.74,0.0,0.0,-803.083,-44.74,0.04474,0.0,-0.04474
138,0.23,4210.605,234.3,0.0,0.0,-4210.605,-234.3,0.2343,0.0,-0.2343
139,0.237,0.0,0.0,829.171,45.76,829.171,45.76,0.0,0.045759999999999995,0.045759999999999995
140,0.24,0.0,0.0,3062.563,168.43,3062.563,168.43,0.0,0.16843,0.16843
141,0.241,833.015,45.76,0.0,0.0,-833.015,-45.76,0.045759999999999995,0.0,-0.045759999999999995
142,0.245,3079.743,168.43,0.0,0.0,-3079.743,-168.43,0.16843,0.0,-0.16843
143,0.246,0.0,0.0,3412.0559999999996,186.39000000000001,3412.0559999999996,186.39000000000001,0.0,0.18639000000000003,0.18639000000000003
144,0.253,3437.963,186.39000000000001,566.446,30.71,-2871.5170000000003,-155.68,0.18639000000000003,0.03071,-0.15568
145,0.254,0.0,0.0,421.741,22.84,421.741,22.84,0.0,0.02284,0.02284
146,0.26,570.623,30.71,0.0,0.0,-570.623,-30.71,0.03071,0.0,-0.03071
147,0.262,425.258,22.84,0.0,0.0,-425.258,-22.84,0.02284,0.0,-0.02284
148,0.267,0.0,0.0,4075.692,217.79999999999998,4075.692,217.79999999999998,0.0,0.2178,0.2178
