,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
75,w99055181,other,55355.73112876553,61506.36792085059,69194.66391095691,nr2,-85386.4329836193,-125116.3014487426,-39729.86846512329,184.62117180265486,-215.1967083579738,184.62117180265486
76,w99055182,sfh,41072.2949799907,45635.88331110078,51340.36872498837,r1,-73645.21030024665,-107906.8290264879,-34261.61872624126,84.81555104400032,-403.95444354853197,84.81555104400032
77,w99055185,education,27137.63133712484,30152.92370791649,33922.039171406046,nr1,-45472.17897106001,-66630.15016408716,-21157.971193027144,136.9722994968528,-154.46897855075645,136.9722994968528
78,w99055186,sfh,8077.381808901094,8974.86867655677,10096.727261126367,r1,-14483.254034908634,-21221.230960173416,-6737.976925264782,41.49024544628337,-162.39906158155446,41.49024544628337
79,w99055192,ab,56573.984423398244,62859.982692664715,70717.4805292478,r2,-93378.6147513568,-136820.71346697197,-43442.09871561517,160.51305735595523,-270.64526357676664,160.51305735595523
80,w99055193,other,37451.259490311946,41612.510544791054,46814.07436288993,nr1,-62753.83260532943,-91952.86842370592,-29199.03581837649,133.23216011486946,-219.15906634855884,133.23216011486946
81,w99055199,ab,144875.40265854934,160972.66962061037,181094.25332318665,r2,-239125.18359242982,-350372.2807856445,-111247.09719321466,594.2030242990702,-187.22068492405137,594.2030242990702
82,w99055201,sfh,23915.67348956297,26572.970543958854,29894.59186195371,r1,-42882.3080002942,-62832.24474183413,-19949.936741539932,119.5810925271362,-166.83186547248468,119.5810925271362
83,w99055202,ab,183212.87097097567,203569.8566344174,229016.08871371957,r2,-302403.3797558206,-443089.0978966236,-140685.718140803,635.4450178422034,-221.39715347605215,635.4450178422034
84,w99055209,other,71166.34004527405,79073.7111614156,88957.92505659255,nr2,-109774.35942143192,-160851.80472815107,-51077.44530671915,191.61494707558305,-266.56294869612395,191.61494707558305
85,w99055216,education,97615.7064420698,108461.89604674422,122019.63305258725,nr2,-150572.61111547577,-220633.27327260855,-70060.66215713279,463.1840371862054,-151.2588011079656,463.1840371862054
86,w99055219,other,280358.9009157519,311509.889906391,350448.6261446898,nr2,-432454.7073313647,-633673.6602614468,-201218.95293008216,773.0541430711745,-260.2908926025329,773.0541430711745
87,w99055224,ab,88079.81530757781,97866.46145286423,110099.76913447226,r2,-145380.80046515714,-213015.63422210937,-67634.83375695223,318.955577952601,-212.0509513929969,318.955577952601
88,w99055226,ab,69321.04823838189,77023.38693153542,86651.31029797735,r2,-114418.3766369988,-167648.70593648878,-53230.32929948998,262.56915004737675,-202.72880225984412,262.56915004737675
89,w99055235,trade,455420.4985622041,506022.7761802268,569275.6232027551,nr2,-702487.9102290586,-1029351.9247627736,-326864.014533715,1694.7837025728077,-192.86473786449037,1694.7837025728077
90,w99055245,ab,110594.87925706254,122883.19917451392,138243.59907132815,r2,-182543.20831160824,-267466.93625995796,-84923.72794834973,424.4345906373113,-200.08672672232532,424.4345906373113
91,w99055249,sfh,33446.903939437485,37163.22659937498,41808.62992429685,r1,-59972.404164705855,-87873.08687319576,-27900.682708489905,70.42309986636974,-396.1865177964675,70.42309986636974
92,w99055257,trade,36946.07902516493,41051.19891684992,46182.59878145616,nr1,-61907.345443702216,-90712.51513588375,-28805.16969218153,137.79457132667304,-209.04429989402408,137.79457132667304
93,w99055287,mfh,65413.202259158345,72681.33584350927,81766.50282394793,r2,-107968.25211561841,-158197.8199781141,-50229.56786249569,226.3710821658373,-221.89039068911634,226.3710821658373
94,w99055292,trade,26638.013577625854,29597.792864028725,33297.51697203232,nr1,-44635.01275360984,-65403.45480786712,-20768.442054257284,58.725108856521544,-353.65523297707614,58.725108856521544
95,w99055300,other,253934.7967876531,282149.7742085034,317418.49598456634,nr2,-391695.422786144,-573949.2900799073,-182253.86729376327,847.1402418442303,-215.1401365339407,847.1402418442303
96,w99389931,mfh,99582.28350232905,110646.9816692545,124477.85437791131,r2,-164366.28570531614,-240833.64847507272,-76467.36276975658,488.4274571448564,-156.55828035703183,488.4274571448564
