u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
60121858,7404078687,0.2678885701563478,0.054,84.65,911.511,2.5635269871420845,1.1328969696236155,111077.89316952274,67881.2902112459,0.0182753872085304,0.020014989371548407,9272.406442980318,10045.247650447775,19317.654093428093,190.21386356775682,188.49359784168422,turbulent,turbulent,0.0025812131261577537
60121858,99390082,0.004860338918685972,0.012,102.71,338.121,0.046510420274506914,0.4162246653131417,9068.856244522629,5542.10784029723,0.03278456257231965,0.0374608549672074,12033.562278554173,13622.01174788529,25655.574026439463,25.675384864385006,25.4431805247145,turbulent,turbulent,4.6831302310380924e-05
60121862,60121858,0.2727489090750338,0.054,106.32,1144.854,2.6100374074165913,1.1534512740835237,113093.19455719441,69112.86973131193,0.018218305915910272,0.019945181000168885,11985.115217224858,12983.972282600009,24969.08749982487,197.17862912819965,195.39537510432882,turbulent,turbulent,0.002628044428468134
60121862,155463254,0.17297531569781932,0.045,142.19,1402.278,1.6552661789265006,1.0533746312412802,86067.42852895796,52597.03733121285,0.01926434166119069,0.021164288754802012,16847.922171192306,18326.080159599238,35174.00233079154,164.44741327034487,162.96017546609562,turbulent,turbulent,0.001666686096834627
60121862,155463268,0.13770995845675738,0.041,83.84,788.012,1.3177986455192092,1.0102326125040826,75205.3436307151,45959.06179676939,0.019818087748435867,0.021810967607023016,10367.279636179099,11291.538368034258,21658.818004213357,151.25303765042676,149.88512780540265,turbulent,turbulent,0.0013268903266898048
60121862,155463286,0.18784588327880522,0.047,65.89,664.039,1.7975682610411983,1.0486479602360048,89489.2839865821,54688.18217337709,0.019095928392711743,0.020972772813111367,7434.607822779569,8075.599624899039,15510.207447678607,162.97491738203925,161.50099661031808,turbulent,turbulent,0.0018099699413489886
60121865,1720869637,0.60357344073784,0.074,31.47,388.151,5.775822399405167,1.359222115452487,182627.26314133292,111606.13418245711,0.016586701324159393,0.0180535833443024,3492.7686211894797,3743.2821748309066,7236.050796020387,273.8055210560751,271.3292648850078,turbulent,turbulent,0.005815670623511276
60121865,353900173,0.08613804774839202,0.034,101.81,862.229,0.8242875382621246,0.9188845322809718,56726.15103958195,34666.16273868398,0.021051228960379323,0.023258859288304602,13271.96313955178,14518.164938024405,27790.128077576184,125.13627380219634,124.00456006234225,turbulent,turbulent,0.0008299744157803676
60121865,160025467,0.08804818485355176,0.035,26.49,228.158,0.8425663622349451,0.8863557554523485,56327.38276453209,34422.469738814194,0.02105620617995624,0.023275344002188947,3209.008529873836,3502.9691320937773,6711.977661967613,116.4333719294087,115.38036593213617,turbulent,turbulent,0.0008483793479718445
60121867,60121871,21.667266760238395,0.317,240.77,4710.906,207.3422656482143,2.6589450138435575,1530425.0917821017,935264.6763229911,0.011480013608498714,0.012239675327911353,16274.80275616868,17126.112471195167,33400.91522736385,1047.803993648447,1038.327811081589,turbulent,turbulent,0.2087727495684036
60121867,7404841890,0.44694497668893385,0.066,125.48,1476.398,4.276985422860611,1.2652896045945239,151627.27652668202,92661.59870479614,0.017186219443334788,0.018749181306974897,13158.410947385866,14203.864987881247,27362.275935267113,237.26911842229458,235.12329201079353,turbulent,turbulent,0.004306492956479765
60121867,8389446364,0.5858328321670583,0.073,133.65,1639.485,5.606055810211084,1.3556629834260612,179687.5787728597,109809.65099348221,0.016640305968347053,0.018114715894584427,14102.335011480716,15189.11336642336,29291.448377904075,272.3734753182583,269.9101703546093,turbulent,turbulent,0.0056447327903584735
60121867,99055018,0.18665187815181017,0.047,79.81,804.325,1.7861423746584706,1.0419824373132784,88920.46308922711,54340.567582302276,0.019117868820129235,0.020999631969109932,8867.133217852444,9636.13969906319,18503.272916915634,160.9096664648433,159.45442351345528,turbulent,turbulent,0.0017984652261433323
60121867,99055216,0.0723126235738536,0.032,53.2,434.484,0.6919868284579291,0.8708390840780776,50597.766855386406,30921.019457126604,0.02157241926023561,0.02387799121196817,6830.491730796436,7480.227251239437,14310.718982035873,112.39245597090441,111.37599541303868,turbulent,turbulent,0.0006967609444732877
60121867,160025437,0.040341925711005776,0.026,41.64,297.101,0.38604713599048585,0.7359252090479226,34741.653682477794,21231.121771815713,0.023446692569459967,0.02611189940663232,5103.649807144574,5623.341669427477,10726.991476572051,80.26545954322457,79.53955073484532,turbulent,turbulent,0.00038871053034832733
60121868,321680288,0.8264692219124834,0.084,82.84,1074.021,7.90879638193764,1.4444145790991423,220300.0563611826,134628.51727467196,0.01600692538135935,0.017385710067031865,8444.297259111347,9062.321571417899,17506.618830529245,309.20397137476203,306.407576914628,turbulent,turbulent,0.007963360298354026
60121868,6957423253,0.5098555510732947,0.069,173.34,2077.827,4.8790004887396625,1.3206043428337582,165449.42827748513,101108.5134559447,0.016907596468375415,0.018423142443283816,18555.77201398111,20013.238601426277,38569.01061540739,258.4679980047958,256.1304520977074,turbulent,turbulent,0.00491266141032706
60121868,160032066,0.06211874967145453,0.03,52.95,415.499,0.5944377958990864,0.8511457731400237,46362.6936544757,28332.9056136443,0.022000099295377218,0.02438090288552155,7055.806907994543,7737.1400807854425,14792.946988779986,107.36660735779853,106.39559982292171,turbulent,turbulent,0.0005985389071989365
60121869,7540526699,1.5958175531984407,0.11,295.16,4222.264,15.270981370320007,1.62637847572641,324831.21911450813,198509.0068348068,0.01489713115670525,0.0161141596293743,26508.865832052015,28383.456257526497,54892.32208957851,392.0167038462845,388.47136342248024,turbulent,turbulent,0.015376338053037153
