,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
36,w98916113,559.2398283889517,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-346042.6056841895,-268498.3376069848,0.048820563252060696,-480.1130462765324
37,w98916116,6987.1012714248145,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-552372.4679896035,-1832968.8123621596,-1280596.344372556,0.048820563252060696,-183.28006058962075
38,w98916121,458.57296650111675,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-37659.63640350452,-180401.43640242235,-142741.79999891782,0.0530335052585837,-311.27390933667306
39,w98916126,1235.1179318586364,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-83997.81699488513,-427703.33604324533,-343705.5190483602,0.048820563252060696,-278.2774909041629
40,w99055014,379.03616306802724,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-84591.453779245,-254457.8658877917,-169866.4121085467,0.048820563252060696,-448.1535765178692
41,w99055018,363.825429549627,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-69950.88354844647,-189115.64173772695,-119164.75818928049,0.05303562136964849,-327.532790483591
42,w99055022,32.828185592684896,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-8607.630451403838,-41887.80148670309,-33280.17103529925,0.06507864456275644,-1013.768212724954
43,w99055023,57.57688737055287,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-13696.924961927867,-57426.536359294434,-43729.61139736656,0.05303562136964849,-759.4993997492759
44,w99055025,2922.078992408514,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-203257.50701130647,-809295.17740945,-606037.6703981436,0.048820563252060696,-207.3994823454855
45,w99055028,168.94065034445376,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-33824.33252213011,-103546.48905323708,-69722.15653110697,0.05303562136964849,-412.7020725263588
46,w99055030,502.22660109587014,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-56501.23661710844,-266618.7403644067,-210117.50374729827,0.0530335052585837,-418.3719127756614
47,w99055036,2513.4158389533286,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-145083.00074359222,-721117.3184308861,-576034.317687294,0.048820563252060696,-229.18384962799237
