,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-89093.08548640383,-73782.18536251926,0.10088425840893965,-1100.1706739049089
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-113552.65264820617,-88937.1007954186,0.10088425840893965,-899.9759568905419
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-1165914.2092634514,-959601.4008937383,0.0928663828498012,-287.7420572778468
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-847166.1396165469,-686618.9195365184,0.0928663828498012,-230.6951742991595
30,w98916086,294.4025758753764,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-214044.05595726066,-179381.45112601962,0.10088023314648455,-609.3066631385509
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-95288.46087050643,5780.549332306444,0.0928663828498012,5.176410714593129
32,w98916094,150.05011938810347,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-152028.199849873,-129219.36565011283,0.10088023314648455,-861.1746940093259
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2021156.8585850454,122610.82635449083,0.0928663828498012,8.102828560226195
34,w98916102,1892.1415951219387,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-713776.9862066616,-600518.3578468977,0.0928663828498012,-317.37495724161033
35,w98916109,81.43322088830173,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-101720.86666111309,-84454.01870087403,0.10088425840893965,-1037.0953989001098
36,w98916113,559.2398283889517,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-380717.7411417264,-303173.4730645217,0.0928663828498012,-542.117098379596
37,w98916116,6987.1012714248145,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-552372.4679896035,-2079970.823284279,-1527598.3552946756,0.0928663828498012,-218.63120283401398
38,w98916121,458.57296650111675,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-37659.63640350452,-197241.5333683641,-159581.89696485957,0.10088023314648455,-347.99673906305367
39,w98916126,1235.1179318586364,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-83997.81699488513,-465264.2770986842,-381266.4601037991,0.0928663828498012,-308.6883043873064
40,w99055014,379.03616306802724,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-84591.453779245,-292282.4665192738,-207691.01274002882,0.0928663828498012,-547.9451117775103
41,w99055018,363.825429549627,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-69950.88354844647,-220393.7923762549,-150442.90882780842,0.10088425840893965,-413.50300613686903
42,w99055022,32.828185592684896,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-8607.630451403838,-45736.65582909787,-37129.02537769404,0.12379247429219233,-1131.0105845742355
43,w99055023,57.57688737055287,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-13696.924961927867,-63551.04059013925,-49854.11562821138,0.10088425840893965,-865.8702806798267
44,w99055025,2922.078992408514,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-203257.50701130647,-900184.9589902264,-696927.4519789199,0.0928663828498012,-238.5039739820585
45,w99055028,168.94065034445376,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-33824.33252213011,-118670.85223790111,-84846.51971577099,0.10088425840893965,-502.2267852217752
46,w99055030,502.22660109587014,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-56501.23661710844,-291884.1543246748,-235382.91770756635,0.10088023314648455,-468.67871433722416
47,w99055036,2513.4158389533286,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-145083.00074359222,-785993.4572882579,-640910.4565446656,0.0928663828498012,-254.99578963883764
48,w99055038,337.97397138923407,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-41155.60326612149,-233881.90673948402,-192726.30347336252,0.10088023314648455,-570.2400770129296
49,w99055039,2475.299022556655,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-146931.7885665421,-678897.966645797,-531966.1780792549,0.0928663828498012,-214.9098647200226
50,w99055040,101.95110847079195,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-12628.90575405614,-95670.16153514864,-83041.2557810925,0.10088023314648455,-814.520381648259
