,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.1,npv_DH_25years_ir_0.1,savings_npv_25years_ir_0.1,operator_selling_price,savings/NFA [€/m2]
64,w99055131,500.74276516167447,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-185489.89912714422,-306270.3098117127,-120780.41068456849,0.16264528056833066,-241.2025077298365
65,w99055135,663.0715527065098,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-143253.23393522186,-236531.54454947732,-93278.31061425546,0.16264528056833066,-140.67608576105286
66,w99055142,64.54166975589469,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-35075.20500337936,-57914.17189639466,-22838.966893015306,0.1766877099153118,-353.86389877106313
67,w99055146,149.08371188635937,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-51974.26925463338,-85816.94001538493,-33842.67076075155,0.1766877099153118,-227.00448179441952
68,w99055147,57.659734526090325,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-11118.703162744607,-18358.566576307618,-7239.863413563011,0.1766877099153118,-125.56185825460332
69,w99055152,1635.3717537612654,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-262516.66989178624,-433473.0703392223,-170956.40044743608,0.16264528056833066,-104.53672081240595
70,w99055158,567.1104306213557,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-143793.06053497654,-237434.1388273118,-93641.07829233527,0.16264528056833066,-165.1196543673817
71,w99055160,362.3993257842958,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-108108.5197682153,-178502.60309862692,-70394.08333041162,0.16264528056833066,-194.24452067637395
72,w99055171,150.93386064656082,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-42189.77404587115,-69661.34128445495,-27471.567238583797,0.1766877099153118,-182.01063115263105
73,w99055172,71.28885925472714,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-40371.75243238957,-66659.52800283939,-26287.77557044982,0.1766877099153118,-368.75012232302885
74,w99055173,413.9677898917347,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-110318.3553985885,-182151.35726978234,-71833.00187119385,0.16264528056833066,-173.5231668386093
75,w99055181,184.62117180265486,other,55355.73112876553,61506.36792085059,69194.66391095691,nr2,-54992.13265485963,-90804.17101218787,-35812.03835732824,0.16264528056833066,-193.9757938250355
76,w99055182,84.81555104400032,sfh,41072.2949799907,45635.88331110078,51340.36872498837,r1,-47430.335624901214,-78314.25675828748,-30883.921133386262,0.1766877099153118,-364.13040713918616
77,w99055185,136.9722994968528,education,27137.63133712484,30152.92370791649,33922.039171406046,nr1,-29285.824582481073,-48357.37214104111,-19071.547558560036,0.1766806601097602,-139.23652905453517
78,w99055186,41.49024544628337,sfh,8077.381808901094,8974.86867655677,10096.727261126367,r1,-9327.770224510044,-15401.480565553346,-6073.710341043301,0.1766877099153118,-146.38887467915364
79,w99055192,160.51305735595523,ab,56573.984423398244,62859.982692664715,70717.4805292478,r2,-60139.403768263415,-99298.74300795465,-39159.33923969123,0.16264528056833066,-243.96357458229159
80,w99055193,133.23216011486946,other,37451.259490311946,41612.510544791054,46814.07436288993,nr1,-40415.871311724346,-66735.54039501474,-26319.6690832904,0.1766806601097602,-197.5474169344566
81,w99055199,594.2030242990702,ab,144875.40265854934,160972.66962061037,181094.25332318665,r2,-154005.7753642817,-254285.52581874374,-100279.75045446205,0.16264528056833066,-168.76344675753438
82,w99055201,119.5810925271362,sfh,23915.67348956297,26572.970543958854,29894.59186195371,r1,-27617.84850002022,-45601.01146335864,-17983.162963338422,0.1766877099153118,-150.3846685399496
83,w99055202,635.4450178422034,ab,183212.87097097567,203569.8566344174,229016.08871371957,r2,-194759.35688753126,-321575.50817248365,-126816.15128495239,0.16264528056833066,-199.57061228615055
84,w99055209,191.61494707558305,other,71166.34004527405,79073.7111614156,88957.92505659255,nr2,-70698.89119930472,-116739.50248711469,-46040.61128780997,0.16264528056833066,-240.2767215735478
85,w99055216,463.1840371862054,education,97615.7064420698,108461.89604674422,122019.63305258725,nr2,-96974.52763062893,-160126.3883702028,-63151.860739573865,0.16264528056833066,-136.3429126858836
86,w99055219,773.0541430711745,other,280358.9009157519,311509.889906391,350448.6261446898,nr2,-278517.39207032125,-459893.8007760117,-181376.40870569047,0.16264528056833066,-234.62316363136196
87,w99055224,318.955577952601,ab,88079.81530757781,97866.46145286423,110099.76913447226,r2,-93630.80275508568,-154597.82501721694,-60967.02226213126,0.16264528056833066,-191.14580987572938
88,w99055226,262.56915004737675,ab,69321.04823838189,77023.38693153542,86651.31029797735,r2,-73689.81612550346,-121672.40869140885,-47982.59256590539,0.16264528056833066,-182.7426891439746
89,w99055235,1694.7837025728077,trade,455420.4985622041,506022.7761802268,569275.6232027551,nr2,-452429.11546805815,-747060.511904406,-294631.39643634786,0.16264528056833066,-173.84601703985913
90,w99055245,424.4345906373113,ab,110594.87925706254,122883.19917451392,138243.59907132815,r2,-117564.81651647668,-194116.2993073694,-76551.48279089271,0.16264528056833066,-180.36108385027373
