,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa
109,w99390021,other,203329.9608709738,225922.17874552644,254162.45108871724,nr2,-313637.2643527311,-403000.3535296157,-89363.08917688456,1617.1983746248297,-55.257963759465014
110,w99390022,education,501507.8998853299,557230.9998725888,626884.8748566624,nr2,-773577.9080345666,-993989.5728398522,-220411.66480528563,5590.431437242403,-39.426592970435976
111,w99390025,education,22880.136119028128,25422.373465586807,28600.170148785157,nr1,-38338.262892655606,-49261.79142436147,-10923.528531705866,237.89438336268066,-45.917555418080035
112,w99390027,mfh,27759.268305341284,30843.631450379202,34699.0853816766,r1,-49774.1154499347,-63952.97000034667,-14178.854550411968,116.0190749399364,-122.21140840635408
113,w99390046,mfh,211796.0789351003,235328.97659455586,264745.09866887535,r2,-349581.60826567287,-449164.8300324913,-99583.22176681843,1095.085822885856,-90.93645418985419
114,w99390052,education,313307.17899148044,348119.0877683116,391633.9737393505,nr2,-483277.55585078214,-620975.4005562186,-137697.84470543644,1678.6958267321402,-82.02667958821827
115,w99390065,education,348951.4029727128,387723.781080792,436189.253715891,nr2,-538258.9115327604,-691622.3175388112,-153363.40600605088,2581.633286331594,-59.405573525113105
116,w99390082,education,39827.93660519214,44253.26289465793,49784.92075649017,nr1,-66736.22464911878,-85751.04167653901,-19014.817027420228,124.21957990797236,-153.07423388090098
117,w99390107,education,26712.358260262183,29680.39806695798,33390.44782532773,nr1,-44759.58570076169,-57512.70946222631,-12753.123761464623,332.09000708311794,-38.40261221191361
118,w99390110,mfh,239891.65743218464,266546.2860357607,299864.5717902308,r2,-395954.97629754676,-508748.3020389507,-112793.32574140391,1066.5973296171287,-105.75061704110284
119,w99390116,ab,158097.7549469809,175664.1721633121,197622.1936837261,r2,-260949.43643641943,-335284.54155678203,-74335.1051203626,694.0162199864862,-107.10859916474291
120,w99390122,other,98676.7039395479,109640.78215505321,123345.87992443486,nr2,-152209.2039283042,-195577.4072961615,-43368.20336785729,307.42072394330467,-141.07117702271552
121,w99390129,trade,195071.71625481176,216746.35139423527,243839.6453185147,nr2,-300898.8895521167,-386632.4976288356,-85733.60807671893,1196.3697846690193,-71.66146217946944
122,w99390130,education,164651.07624751102,182945.64027501224,205813.84530938877,nr2,-253974.93269460523,-326338.73361577495,-72363.80092116972,964.417538562417,-75.03368409188916
123,w99390133,education,680645.1328091653,756272.3697879614,850806.4160114565,nr2,-1049897.7943773482,-1349039.895425777,-299142.1010484288,9252.387912133521,-32.33134017826207
124,w99390139,ab,193561.77819765167,215068.6424418352,241952.22274706457,r2,-319484.84627910896,-410494.583478932,-91009.73719982302,1249.1388426542283,-72.85798351001664
125,w99390141,other,30821.618759402736,34246.24306600304,38527.023449253415,nr1,-51645.11769632692,-66360.10147790055,-14714.983781573632,112.67489476799965,-130.5968273755404
126,w99758761,trade,71706.83112597434,79674.25680663815,89633.53890746791,nr2,-110608.06903919684,-142123.07015882284,-31515.001119626002,171.36210507287177,-183.9088117307163
127,w99758765,trade,64055.628922168136,71172.92102463126,80069.53615271016,nr2,-98806.05954717645,-126958.37342720285,-28152.3138800264,309.03573338240386,-91.09727723683801
128,w99758770,mfh,123602.56527583835,137336.18363982037,154503.20659479793,r2,-204013.14213248855,-262129.14565200213,-58116.003519513586,601.7205038767308,-96.58305333636977
129,w99758771,mfh,175271.79498964516,194746.4388773835,219089.74373705644,r2,-289296.1771726979,-371706.248774026,-82410.07160132809,976.6668764967471,-84.37889477416158
130,w99758774,ab,62183.884482976144,69093.20498108461,77729.85560372018,r2,-102638.07741420371,-131875.97261002538,-29237.895195821664,197.5460334163159,-148.00547847095785
131,w99758775,sfh,41468.16576899654,46075.73974332949,51835.20721124567,r1,-74355.03154403793,-95536.10463442052,-21181.07309038259,265.071225726977,-79.90710056246945
132,w99758777,ab,105954.58460251115,117727.31622501239,132443.23075313892,r2,-174884.13512989104,-224702.3326561832,-49818.19752629215,337.6781565959565,-147.53159644229322
133,w99758783,th,46165.858494498185,51295.3983272202,57707.32311812273,r1,-82778.2903091995,-106358.84674131699,-23580.55643211749,333.3155570875853,-70.74544206144338
134,w99758786,mfh,58859.38042021428,65399.31157801586,73574.22552526784,r2,-97150.79227280986,-124825.55737193054,-27674.765099120676,182.17889552428386,-151.90983027686497
135,w99758788,other,107247.06333366054,119163.40370406726,134058.82916707566,nr2,-165429.01700147404,-212563.8752564586,-47134.858254984545,349.08404515869915,-135.02438426699302
136,w99758792,sfh,22560.840147597835,25067.600163997595,28201.050184497293,r1,-40453.00653468541,-51976.61254148832,-11523.606006802911,60.93018751584459,-189.1280246561896
137,w99758793,ab,45544.688375520156,50605.2093061335,56930.86046940019,r1,-81664.49318472295,-104927.76889203268,-23263.27570730973,126.39461716674268,-184.0527407636378
138,w99758796,ab,179322.33204421046,199247.03560467827,224152.91505526306,r2,-295981.8215198178,-380296.39263694244,-84314.57111712464,906.0679207786917,-93.05546436812719
139,w99758800,ab,99487.39834212833,110541.55371347592,124359.24792766041,r2,-164209.6722917426,-210987.0994373311,-46777.4271455885,420.9761067721993,-111.11658451176883
140,w99758801,mfh,71440.53956745433,79378.37729717146,89300.6744593179,r2,-117916.71896348412,-151506.94939011522,-33590.2304266311,293.7319820257835,-114.35673499007193
141,w99758803,mfh,131384.60978199245,145982.8997577694,164230.76222749054,r2,-216857.85412023985,-278632.8539146234,-61774.99979438353,512.6721141899004,-120.49611844404174
142,w99758805,sfh,58159.717102174254,64621.90789130473,72699.64637771781,r2,-95995.95773009918,-123341.75202054011,-27345.79429044093,165.76912949401884,-164.96312898492718
143,w99758807,other,42605.10553834061,47339.006153711794,53256.381922925764,nr1,-71389.686154001,-91730.39057653095,-20340.704422529947,110.8734177275095,-183.45880229398833
144,w99758813,other,17306.7893226752,19229.765914083553,21633.486653343996,nr1,-28999.48826478882,-37262.16668483728,-8262.678420048458,43.0509613757953,-191.92784913495598
145,w99758814,th,18715.5754116606,20795.083790734,23394.46926457575,r1,-33558.20481308256,-43117.72989386944,-9559.52508078688,84.92593946289271,-112.56307720874598
146,w99758818,mfh,91711.52463429667,101901.69403810741,114639.40579287084,r2,-151375.14556149318,-194496.4778455944,-43121.33228410123,424.19755738042295,-101.65389105583593
147,w99758821,sfh,16591.68554566197,18435.206161846632,20739.606932077462,r1,-29749.93658964306,-38224.62308031141,-8474.686490668348,35.03456762442365,-241.89499301142763
148,w99758824,ab,169348.0416963535,188164.4907737261,211685.05212044186,r2,-279518.68169851333,-359143.49664700916,-79624.81494849583,478.7830200769007,-166.3066809171861
149,w99758826,ab,106368.10829847213,118186.78699830236,132960.13537309016,r2,-175566.67977102342,-225579.3097066773,-50012.62993565388,392.0728006519377,-127.55954978894991
152,w99758837,mfh,81068.34105236304,90075.9345026256,101335.4263154538,r2,-133807.95899058756,-171925.03191222236,-38117.0729216348,194.723237061128,-195.74999623526693
153,w99758838,ab,109862.70524728548,122069.67249698387,137328.38155910684,r2,-181334.7130025585,-232990.44806409132,-51655.73506153282,478.1149431033991,-108.04041121626591
154,w99758842,sfh,28836.13150330949,32040.146114788324,36045.16437913686,r1,-51704.99894981219,-66433.8927334897,-14728.893783677515,66.20839738831855,-222.46262354442976
155,w99758845,th,68631.03812160477,76256.7090240053,85788.79765200596,r2,-113279.47525810951,-145548.7218074991,-32269.246549389587,141.8255072105676,-227.52780641552442
156,w99758846,other,132388.56970357036,147098.41078174484,165485.71212946295,nr2,-204209.88946015234,-262394.38676563156,-58184.49730547922,563.5821329504251,-103.24049309525813
157,w99758847,sfh,141765.98617754248,157517.76241949163,177207.4827219281,r2,-233992.9128739939,-300649.07436429174,-66656.16149029785,385.25146163031457,-173.0198795566434
158,w99758850,ab,51542.08490718524,57268.98323020582,64427.60613398155,r2,-85073.17522502817,-109307.46179654308,-24234.28657151491,177.17881421931088,-136.77869263487594
159,w99758852,other,94738.4325839545,105264.92509328279,118423.04072994312,nr2,-146134.40487283768,-187771.74628191077,-41637.341409073095,422.9061155930161,-98.45528327413172
160,w99758858,sfh,9200.09663478349,10222.329594203877,11500.12079347936,r1,-16496.352389884763,-21195.56962426806,-4699.217234383297,57.38898355839774,-81.88361150535937
161,w99758862,sfh,153965.21116104606,171072.45684560674,192456.51395130757,r2,-254128.4352631253,-326520.48257823964,-72392.04731511432,402.33381934519855,-179.93030621421025
162,w99758864,other,39005.52169932354,43339.46855480393,48756.90212415442,nr1,-65358.17520465733,-83980.35153088503,-18622.1763262277,101.365438436158,-183.71327163899483
163,w99758865,other,19191.6289905496,21324.03221172178,23989.536238187,nr1,-32157.75088707185,-41320.297200502035,-9162.546313430186,63.831228005420414,-143.54331883842377
164,w99758868,ab,107761.9123396737,119735.45815519299,134702.3904245921,r2,-177867.23349600408,-228535.20841081117,-50667.9749148071,445.0926624152809,-113.83691350888368
165,w99758869,other,36782.57152472311,40869.523916359016,45978.21440590389,nr1,-61633.37008340504,-79194.2564098493,-17560.886326444263,105.27734354436397,-166.80594072022808
166,w99758874,ab,145140.5559918637,161267.2844354041,181425.6949898296,r2,-239562.83441752108,-307805.6661421161,-68242.83172459505,732.9468768487684,-93.10747324280617
167,w99758876,sfh,19767.0966607297,21963.44073414411,24708.870825912127,r1,-35443.64860336986,-45540.26877914342,-10096.620175773562,118.68904608124866,-85.06783489406355
