,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
553,w159872834,sfh,9511.544663891347,10568.382959879274,11889.430829864183,r1,-17054.798310971466,-28583.13579634807,-11528.337485376604,33.79703346360475,-341.10501141442506,33.79703346360475
554,w159872835,th,15722.28965503435,17469.210727815946,19652.862068792936,r1,-28191.055031389908,-47247.04095070827,-19055.985919318366,42.916394099872555,-444.02579291662704,42.916394099872555
555,w159872839,other,22228.099409219543,24697.888232466157,27785.124261524426,nr1,-37245.701438201926,-62425.21475879662,-25179.51332059469,58.88304680213332,-427.61906334783004,58.88304680213332
556,w159872840,other,93068.10267465717,103409.0029718413,116335.12834332146,nr2,-143557.91441823618,-240608.5344573919,-97050.62003915574,318.65718863122163,-304.5612134345142,318.65718863122163
557,w159872842,other,9355.834850403775,10395.372056004195,11694.793563004718,nr1,-15676.762332578512,-26274.850990726067,-10598.088658147555,48.8293092939537,-217.04359146976233,48.8293092939537
558,w159872843,mfh,57443.75692324947,63826.3965813883,71804.69615406184,r2,-94814.22428129723,-158904.71400733618,-64090.489726038955,143.51003436879253,-446.5923934025339,143.51003436879253
559,w159872845,mfh,41746.72914119777,46385.25460133085,52183.41142649721,r1,-74854.51320528185,-125453.06469790947,-50598.55149262762,162.83680398128925,-310.7316666473118,162.83680398128925
560,w159872848,mfh,21291.72814453538,23657.47571615042,26614.660180669223,r1,-38177.40882567902,-63983.756413881754,-25806.347588202734,156.42925329236314,-164.97136593736204,156.42925329236314
561,w159872851,mfh,46976.990518218794,52196.65613135421,58721.23814777349,r1,-84232.70108651959,-141170.51927259305,-56937.81818607346,167.48750086340587,-339.95264060038124,167.48750086340587
562,w159872853,th,18641.830787650975,20713.145319612195,23302.288484563716,r1,-33425.976060188485,-56020.551837263265,-22594.57577707478,143.46053532976657,-157.49680373865607,143.46053532976657
563,w159872855,other,115726.01355909788,128584.45951010875,144657.51694887233,nr2,-178507.8310724444,-299185.9264434433,-120678.0953709989,768.5454076524824,-157.02142536978974,768.5454076524824
564,w159872857,mfh,74043.33994281983,82270.37771424426,92554.17492852478,r2,-122212.79066504564,-204823.57679846874,-82610.7861334231,315.41669200100006,-261.91000105080417,315.41669200100006
565,w159872858,other,51966.23350286974,57740.25944763304,64957.79187858717,nr2,-80158.1195645722,-134348.0626021279,-54189.9430375557,136.24142913175746,-397.7493731745081,136.24142913175746
566,w159872860,other,39926.17881659091,44362.420907323234,49907.72352073863,nr1,-66900.84061591933,-112128.3579508391,-45227.51733491977,131.01957194106652,-345.19665012539815,131.01957194106652
567,w159872862,mfh,48134.98854254384,53483.32060282649,60168.7356781798,r1,-86309.06443729498,-144650.41827436513,-58341.35383707016,156.42902136784977,-372.95735360945514,156.42902136784977
568,w159872865,mfh,21250.92912058293,23612.143467314363,26563.66140072866,r1,-38104.25360753288,-63861.1512973418,-25756.897689808917,158.90607472276315,-162.08881715029403,158.90607472276315
569,w159872867,mfh,52620.75948791944,58467.5105421327,65775.94935989928,r2,-86853.589653021,-145563.01998925136,-58709.43033623036,192.56274920739233,-304.88467046655853,192.56274920739233
570,w159872868,other,18044.998718983097,20049.998576647886,22556.24839872887,nr1,-30236.441828274998,-50677.42858336809,-20440.986755093094,54.98272090442479,-371.77110224547084,54.98272090442479
571,w159872870,mfh,76868.77232545406,85409.74702828229,96085.96540681757,r2,-126876.32929774077,-212639.4744478762,-85763.14515013542,315.09365436807275,-272.18302863678826,315.09365436807275
572,w159872874,th,25655.925460115897,28506.58384457322,32069.90682514487,r1,-46002.68932812664,-77098.60252156551,-31095.91319343887,56.548262861557305,-549.9004146169541,56.548262861557305
573,w159872876,other,31303.141973789738,34781.26885976637,39128.92746723717,nr1,-52451.96445134829,-87911.4909630295,-35459.52651168121,86.08918008172186,-411.8929519135918,86.08918008172186
574,w159872878,mfh,96766.79497961469,107518.66108846077,120958.49372451835,r2,-159719.15998527093,-267682.698786345,-107963.53880107409,413.8979488207959,-260.8457932895404,413.8979488207959
575,w159872879,mfh,66855.49163505835,74283.87959450927,83569.36454382293,r2,-110348.83367381671,-184940.07612146702,-74591.24244765031,205.3686287334189,-363.206605155232,205.3686287334189
