,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,35.07,42.89,35.85,18.06,13.22,13.22,13.22,13.22
273,67.0,70.64,60.08,35.11,35.11,35.11,35.11,51.28
274,35.91,35.91,35.91,27.36,27.36,27.36,27.36,35.91
275,31.72,31.72,31.72,24.17,24.17,24.17,24.17,31.72
276,29.33,29.33,22.34,22.34,22.34,22.34,29.33,29.33
277,44.29,44.29,33.74,33.74,33.74,33.74,44.29,44.29
278,94.98,52.91,32.83,32.83,32.83,32.83,82.03,107.04
279,9.58,7.3,7.3,7.3,7.3,9.58,9.58,9.58
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,26.03,29.89,26.46,17.74,13.22,13.22,13.22,13.22
297,66.7,70.35,59.96,35.11,35.11,35.11,35.11,51.15
298,222.37,217.46,131.71,58.82,58.82,58.82,58.82,143.56
299,81.71,79.16,71.39,53.35,53.35,53.35,53.35,77.56
300,92.27,84.38,55.18,55.18,55.18,55.18,75.89,88.76
301,30.52,30.52,23.26,23.26,23.26,23.26,30.52,30.52
302,26.33,26.33,20.06,20.06,20.06,20.06,26.33,26.33
303,21.03,7.75,7.75,7.75,7.75,11.46,22.73,26.7
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
