,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
51,w99055041,189.90211718752977,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-143010.8633768708,-179760.21412216447,-36749.35074529366,0.17664603579609733
52,w99055043,190.2007592998445,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-189970.34752767193,-238786.8273925773,-48816.479864905385,0.17664603579609733
53,w99055048,47.74609960326925,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-58060.89601970184,-72980.74323991749,-14919.847220215648,0.19189725900050425
54,w99055050,194.95880112051967,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-134318.71780985774,-168842.4666800562,-34523.74887019847,0.17664603579609733
55,w99055053,122.33706042193808,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-117288.81047892066,-147428.39241703818,-30139.581938117524,0.19189725900050425
56,w99055057,303.91877080444243,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-192965.14152751095,-242551.1904482995,-49586.04892078854,0.17664603579609733
57,w99055067,194.8848727118224,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-78898.07583157187,-99172.43117353212,-20274.355341960254,0.19189725900050425
58,w99055068,348.37368724122643,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-291583.7630253139,-366511.7351109847,-74927.9720856708,0.17664603579609733
59,w99055094,263.70872883694244,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-135928.0613198669,-170865.4574619525,-34937.39614208561,0.17664603579609733
60,w99055100,85.6876405166462,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-37640.75106889836,-47313.25517582027,-9672.504106921908,0.19189725900050425
61,w99055110,94.65369866762775,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-115481.71835370219,-145156.93373412886,-29675.21538042667,0.17664603579609733
62,w99055113,801.3236896117684,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-316052.60295441607,-397287.153671442,-81234.55071702594,0.17664603579609733
63,w99055118,54.3237798044458,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-53665.61019639652,-67459.20560585461,-13793.595409458096,0.1918896023368773
64,w99055131,500.74276516167447,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-384014.2235220519,-482693.9535660834,-98679.73004403152,0.17664603579609733
65,w99055135,663.0715527065098,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-296572.9112772311,-372782.93952773174,-76210.02825050062,0.17664603579609733
66,w99055142,64.54166975589469,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-72615.15412770225,-91274.9937052743,-18659.839577572056,0.19189725900050425
67,w99055146,149.08371188635937,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-107600.78443550869,-135250.844538067,-27650.060102558316,0.19189725900050425
68,w99055147,57.659734526090325,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-23018.72059721622,-28933.816953957925,-5915.096356741706,0.19189725900050425
69,w99055152,1635.3717537612654,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-543480.4570193265,-683170.4653810567,-139690.00836173014,0.17664603579609733
70,w99055158,567.1104306213557,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-297690.4982375822,-374205.46331301774,-76514.96507543552,0.17664603579609733
71,w99055160,362.3993257842958,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-223813.85439458868,-281327.0645283375,-57513.21013374883,0.17664603579609733
72,w99055171,150.93386064656082,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-87344.23489923144,-109788.99082964215,-22444.755930410713,0.19189725900050425
73,w99055172,71.28885925472714,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-83580.43880287965,-105058.01601964186,-21477.577216762205,0.19189725900050425
74,w99055173,413.9677898917347,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-228388.81140142525,-287077.6434125543,-58688.83201112904,0.17664603579609733
75,w99055181,184.62117180265486,other,55355.73112876553,61506.36792085059,69194.66391095691,nr2,-113848.5773114924,-143110.91510342504,-29262.337791932645,0.17664603579609733
76,w99055182,84.81555104400032,sfh,41072.2949799907,45635.88331110078,51340.36872498837,r1,-98193.6137336622,-123426.32310159858,-25232.709367936375,0.19189725900050425
77,w99055185,136.9722994968528,education,27137.63133712484,30152.92370791649,33922.039171406046,nr1,-60629.57196141335,-76213.10455190862,-15583.53259049527,0.1918896023368773
