,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
178,w99758908,ab,27512.151103074764,34390.18887884345,62155.14284179054,69061.2698242117,r1,r2,-102590.63768255062,-124837.45566270832,-22246.817980157706,248.9345047255978
179,w99758913,ab,22300.78576510543,27875.982206381785,66297.76659895918,73664.18510995463,r1,r2,-109428.27642804579,-139703.7304843277,-30275.454056281917,208.22132023065353
180,w99758915,ab,10013.713282288307,12517.141602860384,27065.001520575188,30072.223911750207,r1,r1,-48529.25140244273,-60440.021477088296,-11910.770074645567,71.10941483918579
181,w99758919,ab,94696.69321739217,118370.8665217402,208080.77592565658,231200.8621396184,r2,r2,-343449.2869886883,-322415.34715262597,21033.939836062316,819.0798590054737
182,w99758922,th,11677.410484752485,14596.763105940605,29500.748365313924,32778.60929479325,r1,r1,-52896.69881940193,-62502.6283375375,-9605.92951813557,83.9358181065414
183,w99758926,sfh,4556.491211661925,5695.614014577406,13125.615217519764,14584.016908355294,r1,r1,-23535.05431058286,-33654.35231266228,-10119.298002079424,36.12754547015065
184,w99758928,sfh,17308.899478423707,21636.124348029633,50451.804126083465,56057.56014009274,r1,r2,-83273.6040958785,-85288.55704017935,-2014.9529443008505,119.38002583179623
185,w99758931,th,8611.439252918039,10764.299066147547,29795.3796286822,33105.977365202445,r1,r1,-53424.99122094304,-78255.08756880694,-24830.096347863895,65.79372537583113
186,w99758935,ab,44548.24205703894,55685.30257129867,97740.68299085365,108600.75887872626,r2,r2,-161326.61815423868,-186172.24732313753,-24845.629168898857,355.7203856162727
187,w99758936,th,12820.809152675898,16026.011440844872,46648.143097256325,51831.270108062585,r1,r1,-83643.05696058815,-116363.34745838273,-32720.290497794587,99.44306262517348
188,w99758945,mfh,72696.76550898828,90870.95688623533,72696.76550898828,80774.18389887585,r2,r2,-119990.19212311266,0.0,119990.19212311266,525.0721962768584
189,w99758951,ab,38846.362119594094,48557.95264949262,88176.77832572878,97974.19813969864,r1,r2,-145540.84350277114,-143051.98030555763,2488.8631972135045,355.6037514369003
190,w99758953,other,30960.182478675506,38700.22809834438,115621.89938143763,128468.77709048626,nr1,nr2,-178347.23454391598,-250464.4233916005,-72117.1888476845,525.4067761451006
191,w99758954,sfh,3643.787391156788,4554.7342389459845,15454.106966036949,17171.229962263275,r0,r1,-27710.186588569235,-44082.54806998996,-16372.361481420729,37.75478148937691
192,w99758959,sfh,3902.3905445980445,4877.988180747555,5386.67163386435,5985.190704293722,r0,r1,-9658.641317403275,-33038.861837014716,-23380.22051961144,30.14875982720405
193,w99758962,mfh,21723.95521923704,27154.944024046297,21723.95521923704,24137.72802137449,r1,r1,-38952.41917826271,0.0,38952.41917826271,201.50926117040217
194,w99758966,th,21851.717362183943,27314.646702729926,53966.642471051426,59962.936078946026,r1,r2,-89075.04691581032,-122547.41375878417,-33472.366842973846,155.61690238779408
195,w99758967,ab,10128.948163735615,12661.185204669518,36490.03724639751,40544.485829330566,r1,r1,-65428.93374192909,-85112.39752776598,-19683.463785836888,90.83302856497467
196,w99758970,th,48443.52710272418,60554.40887840523,114162.05294071334,126846.72548968148,r2,r2,-188431.03361774032,-202766.3552165924,-14335.321598852082,391.2386861808598
197,w99758974,sfh,20363.139486646123,25453.924358307653,52549.96407185974,58388.84896873304,r1,r2,-86736.73774750685,-86624.0252214287,112.71252607814677,163.93810575278476
198,w99758975,sfh,19017.06701210734,23771.333765134175,48769.161981762925,54187.95775751436,r1,r1,-87446.17733349116,-99283.32624021026,-11837.1489067191,139.83927450878545
199,w99758979,trade,40567.1544633245,50708.94307915562,118383.22027633703,131536.91141815225,nr1,nr2,-182606.5828847434,-251889.33636402717,-69282.75347928377,705.2831632008775
200,w99758981,other,27092.453379920906,33865.56672490113,27092.453379920906,30102.725977689894,nr1,nr1,-45396.478180154445,0.0,45396.478180154445,319.7999828794971
201,w99758984,ab,41356.19257743753,51695.24072179691,99044.44301429484,110049.38112699427,r1,r2,-163478.54904964834,-171985.05952650757,-8506.510476859228,336.42351993245535
202,w99758985,ab,159203.44292933436,199004.30366166795,308773.6475480953,343081.8306089948,r2,r2,-509648.6622540226,-432884.7457940084,76763.91646001418,1446.6540044941007
203,w99758989,education,66773.88157928629,83467.35197410785,178962.42487789664,198847.1387532185,nr2,nr2,-276050.24424439034,-521791.49837301904,-245741.2541286287,963.3213891830295
204,w99758991,ab,38927.20383955835,48659.00479944794,108571.37632794297,120634.8625866033,r1,r2,-179203.30035935252,-215699.4299809213,-36496.129621568776,346.04414169639347
205,w99758995,sfh,4605.429916486004,5756.787395607505,14153.006730026627,15725.56303336292,r1,r1,-25377.231964305814,-41423.01672393117,-16045.784759625356,38.315451947040856
206,w99758997,other,49421.63020499519,61777.03775624399,183323.21692341135,203692.46324823482,nr2,nr2,-282776.7831258604,-377989.5440566641,-95212.76093080372,604.6954287230968
207,w99759000,other,34496.09632156219,43120.120401952736,34496.09632156219,38328.995912846876,nr1,nr1,-57802.1215724567,0.0,57802.1215724567,505.76658869385716
208,w99759001,other,21620.245901575137,27025.30737696892,81574.80850317713,90638.67611464126,nr1,nr2,-125829.46295489468,-164405.45189005596,-38575.98893516128,277.86601877255595
209,w99759005,th,21517.100210125434,26896.37526265679,50791.008241442374,56434.45360160264,r1,r2,-83833.47999525166,-106157.95328409757,-22324.47328884591,200.24946516156197
210,w99759006,sfh,50992.01233528256,63740.0154191032,107306.25960596674,119229.17733996305,r2,r2,-177115.1524553124,-185751.8176532959,-8636.6651979835,478.86383471041916
211,w99759010,ab,42845.86231337848,53557.32789172309,91918.43252307092,102131.59169230102,r1,r2,-151716.65893078802,-178551.58605508183,-26834.927124293812,347.4218390390277
212,w99759011,health,81096.3879180279,101370.48489753487,269958.28428687295,299953.6492076366,nr2,nr2,-416411.7152750534,-482513.78657818475,-66102.07130313135,1184.1155465334652
213,w99759013,other,48346.56544700629,60433.20680875786,171785.6852225,190872.98358055556,nr2,nr2,-264980.0950993821,-324718.72873447736,-59738.63363509526,1127.2734199425206
214,w99759015,mfh,34217.03964154063,42771.29955192578,34217.03964154063,38018.932935045144,r1,r1,-61353.30595674708,0.0,61353.30595674708,262.8249901607633
215,w99759016,other,8362.91554321064,10453.644429013299,39579.42093353886,43977.13437059873,nr1,nr1,-66319.80845722102,-115510.49066298541,-49190.68220576439,162.4421672269469
216,w99759020,other,5363.4306045502435,6704.288255687804,23783.079223761644,26425.64358195738,nr1,nr1,-39851.2464669795,-64490.16897311438,-24638.922506134877,78.66829424034803
217,w99759023,th,6763.263251708072,8454.079064635089,17153.126364166834,19059.029293518703,r1,r1,-30756.63531855696,-36185.81521267008,-5429.17989411312,45.55874986834824
218,w99759028,trade,33061.024403090545,41326.28050386318,117384.63411857742,130427.3712428638,nr1,nr2,-181066.25980889838,-232788.73932340415,-51722.47951450577,314.5253525768406
219,w99759036,mfh,42631.70476229463,53289.63095286828,84448.21047114403,93831.34496793781,r1,r2,-139386.62783604566,-151680.58188582354,-12293.95404977788,422.98085668310523
220,w99759038,ab,12476.366237759883,15595.457797199853,40682.52312775101,45202.8034752789,r1,r1,-72946.32483399032,-93018.16600092466,-20071.841166934333,116.55152825303375
221,w99759044,trade,30727.523085082063,38409.403856352576,91754.0768965997,101948.97432955522,nr1,nr2,-141531.02448743823,-230685.2823809176,-89154.25789347937,415.2007402397692
222,w99759045,trade,46874.11717738663,58592.646471733286,131494.20155201256,146104.66839112507,nr2,nr2,-202830.32306876944,-315043.61137809133,-112213.28830932188,941.2816024620085
223,w99759047,mfh,44840.233894655554,56050.29236831944,92497.8685975063,102775.40955278477,r2,r2,-152673.0514938927,-145541.1276749983,7131.9238188944,442.628270605579
224,w99759050,trade,22511.684368925235,28139.60546115654,87689.82726981034,97433.14141090038,nr1,nr2,-135261.90345317166,-183993.65755064596,-48731.7540974743,246.0824731603265
