,time,G(i),H_sun,T2m,WS10m,Int
251,20190111:1110,18.7,17.92,0.6,2.83,0.0
252,20190111:1210,24.17,17.6,0.89,2.9,0.0
253,20190111:1310,17.33,14.9,1.24,2.69,0.0
254,20190111:1410,18.24,10.08,1.43,2.34,0.0
255,20190111:1510,2.28,3.52,1.59,2.48,0.0
256,20190111:1610,0.0,0.0,1.78,2.62,0.0
257,20190111:1710,0.0,0.0,2.07,2.69,0.0
258,20190111:1810,0.0,0.0,2.66,2.69,0.0
259,20190111:1910,0.0,0.0,2.54,2.9,0.0
260,20190111:2010,0.0,0.0,2.99,2.76,0.0
261,20190111:2110,0.0,0.0,3.46,2.69,0.0
262,20190111:2210,0.0,0.0,3.84,2.69,0.0
263,20190111:2310,0.0,0.0,4.12,2.76,0.0
264,20190112:0010,0.0,0.0,4.32,2.76,0.0
265,20190112:0110,0.0,0.0,4.48,2.97,0.0
266,20190112:0210,0.0,0.0,4.61,3.1,0.0
267,20190112:0310,0.0,0.0,4.66,3.24,0.0
268,20190112:0410,0.0,0.0,4.66,3.24,0.0
269,20190112:0510,0.0,0.0,4.56,3.24,0.0
270,20190112:0610,0.0,0.0,4.46,3.24,0.0
271,20190112:0710,0.0,0.0,4.29,3.38,0.0
272,20190112:0810,22.14,5.44,4.19,3.38,0.0
273,20190112:0910,38.76,11.61,4.27,3.52,0.0
274,20190112:1010,39.67,15.95,4.5,3.93,0.0
275,20190112:1110,20.06,18.07,4.75,4.28,0.0
276,20190112:1210,41.5,17.77,4.98,4.9,0.0
277,20190112:1310,20.06,15.08,4.97,4.21,0.0
278,20190112:1410,19.15,10.26,4.64,4.69,0.0
279,20190112:1510,6.84,3.7,4.4,4.76,0.0
280,20190112:1610,0.0,0.0,4.05,4.9,0.0
281,20190112:1710,0.0,0.0,4.1,5.1,0.0
282,20190112:1810,0.0,0.0,4.13,5.03,0.0
283,20190112:1910,0.0,0.0,4.14,4.97,0.0
284,20190112:2010,0.0,0.0,4.28,4.41,0.0
285,20190112:2110,0.0,0.0,4.57,4.0,0.0
286,20190112:2210,0.0,0.0,5.01,3.66,0.0
287,20190112:2310,0.0,0.0,5.32,3.66,0.0
288,20190113:0010,0.0,0.0,5.49,3.86,0.0
289,20190113:0110,0.0,0.0,5.48,3.93,0.0
290,20190113:0210,0.0,0.0,5.44,3.79,0.0
291,20190113:0310,0.0,0.0,5.51,3.38,0.0
292,20190113:0410,0.0,0.0,5.58,3.38,0.0
293,20190113:0510,0.0,0.0,5.55,3.45,0.0
294,20190113:0610,0.0,0.0,5.61,3.79,0.0
295,20190113:0710,0.0,0.0,5.77,4.07,0.0
296,20190113:0810,11.37,5.54,5.89,3.93,0.0
297,20190113:0910,15.96,11.73,6.02,3.93,0.0
298,20190113:1010,21.43,16.09,6.2,4.28,0.0
299,20190113:1110,45.6,18.23,6.42,4.28,0.0
300,20190113:1210,22.8,17.95,6.85,4.28,0.0
301,20190113:1310,26.9,15.27,7.38,4.9,0.0
302,20190113:1410,19.15,10.45,7.64,5.31,0.0
303,20190113:1510,3.65,3.89,7.72,5.52,0.0
304,20190113:1610,0.0,0.0,7.63,5.66,0.0
305,20190113:1710,0.0,0.0,7.64,5.72,0.0
306,20190113:1810,0.0,0.0,7.72,5.72,0.0
307,20190113:1910,0.0,0.0,8.06,6.14,0.0
308,20190113:2010,0.0,0.0,7.78,5.86,0.0
309,20190113:2110,0.0,0.0,7.46,5.72,0.0
310,20190113:2210,0.0,0.0,6.67,5.38,0.0
311,20190113:2310,0.0,0.0,5.96,5.1,0.0
312,20190114:0010,0.0,0.0,5.47,4.9,0.0
313,20190114:0110,0.0,0.0,5.19,4.9,0.0
314,20190114:0210,0.0,0.0,5.11,4.76,0.0
315,20190114:0310,0.0,0.0,5.29,4.69,0.0
316,20190114:0410,0.0,0.0,5.2,4.55,0.0
317,20190114:0510,0.0,0.0,5.3,4.34,0.0
318,20190114:0610,0.0,0.0,5.31,4.41,0.0
319,20190114:0710,0.0,0.0,4.71,3.72,0.0
320,20190114:0810,11.97,5.65,4.58,3.31,0.0
321,20190114:0910,26.9,11.86,4.46,3.52,0.0
322,20190114:1010,53.81,16.24,4.34,3.86,0.0
323,20190114:1110,64.3,18.4,4.38,3.59,0.0
324,20190114:1210,51.53,18.13,5.0,3.66,0.0
325,20190114:1310,20.52,15.46,5.03,4.34,0.0
326,20190114:1410,20.52,10.64,4.44,4.69,0.0
327,20190114:1510,8.66,4.08,3.82,4.21,0.0
328,20190114:1610,0.0,0.0,3.03,4.07,0.0
329,20190114:1710,0.0,0.0,2.57,4.07,0.0
330,20190114:1810,0.0,0.0,2.23,3.86,0.0
331,20190114:1910,0.0,0.0,1.62,3.17,0.0
332,20190114:2010,0.0,0.0,1.73,3.1,0.0
333,20190114:2110,0.0,0.0,1.85,3.03,0.0
334,20190114:2210,0.0,0.0,1.95,2.97,0.0
335,20190114:2310,0.0,0.0,2.05,3.03,0.0
336,20190115:0010,0.0,0.0,2.01,3.03,0.0
337,20190115:0110,0.0,0.0,1.94,3.1,0.0
338,20190115:0210,0.0,0.0,2.03,3.1,0.0
339,20190115:0310,0.0,0.0,1.58,2.9,0.0
340,20190115:0410,0.0,0.0,1.55,2.97,0.0
341,20190115:0510,0.0,0.0,1.71,3.1,0.0
342,20190115:0610,0.0,0.0,1.44,3.03,0.0
343,20190115:0710,0.0,0.0,1.67,2.9,0.0
344,20190115:0810,32.01,5.76,2.11,3.03,0.0
345,20190115:0910,34.66,11.99,2.97,2.9,0.0
346,20190115:1010,24.17,16.39,3.82,3.17,0.0
347,20190115:1110,56.09,18.57,4.58,3.72,0.0
