,time,G(i),H_sun,T2m,WS10m,Int
5868,20200901:1210,152.76,47.2,19.8,2.48,0.0
5869,20200901:1310,89.83,42.85,20.3,2.41,0.0
5870,20200901:1410,93.48,36.0,20.27,2.76,0.0
5871,20200901:1510,61.1,27.58,20.08,2.97,0.0
5872,20200901:1610,62.93,18.31,19.2,2.9,0.0
5873,20200901:1710,43.96,8.72,18.66,2.34,0.0
5874,20200901:1810,0.0,0.0,17.87,2.07,0.0
5875,20200901:1910,0.0,0.0,16.84,2.0,0.0
5876,20200901:2010,0.0,0.0,15.84,1.86,0.0
5877,20200901:2110,0.0,0.0,14.95,1.72,0.0
5878,20200901:2210,0.0,0.0,13.94,1.52,0.0
5879,20200901:2310,0.0,0.0,12.7,1.45,0.0
5880,20200902:0010,0.0,0.0,11.97,1.31,0.0
5881,20200902:0110,0.0,0.0,11.87,1.1,0.0
5882,20200902:0210,0.0,0.0,11.96,0.97,0.0
5883,20200902:0310,0.0,0.0,11.17,1.1,0.0
5884,20200902:0410,0.0,0.0,10.98,1.03,0.0
5885,20200902:0510,36.91,3.87,11.53,0.83,0.0
5886,20200902:0610,41.95,13.47,12.5,0.41,0.0
5887,20200902:0710,70.22,22.94,13.4,0.55,0.0
5888,20200902:0810,79.34,31.83,15.28,0.34,0.0
5889,20200902:0910,77.06,39.51,17.09,0.34,0.0
5890,20200902:1010,110.81,45.16,18.48,0.48,0.0
5891,20200902:1110,113.09,47.8,19.4,0.41,0.0
5892,20200902:1210,115.83,46.83,19.69,0.48,0.0
5893,20200902:1310,53.81,42.49,19.92,1.03,0.0
5894,20200902:1410,31.92,35.65,20.29,1.52,0.0
5895,20200902:1510,80.71,27.24,20.17,1.72,0.0
5896,20200902:1610,37.85,17.98,19.93,1.66,0.0
5897,20200902:1710,37.93,8.39,19.49,1.24,0.0
5898,20200902:1810,0.0,0.0,18.3,0.9,0.0
5899,20200902:1910,0.0,0.0,18.83,0.34,0.0
5900,20200902:2010,0.0,0.0,18.18,0.41,0.0
5901,20200902:2110,0.0,0.0,16.29,1.1,0.0
5902,20200902:2210,0.0,0.0,14.65,1.17,0.0
5903,20200902:2310,0.0,0.0,14.01,1.03,0.0
5904,20200903:0010,0.0,0.0,12.8,1.17,0.0
5905,20200903:0110,0.0,0.0,12.67,1.1,0.0
5906,20200903:0210,0.0,0.0,12.31,1.1,0.0
5907,20200903:0310,0.0,0.0,11.27,1.31,0.0
5908,20200903:0410,0.0,0.0,10.7,1.52,0.0
5909,20200903:0510,1.2,3.65,10.28,1.66,0.0
5910,20200903:0610,25.99,13.25,11.6,1.52,0.0
5911,20200903:0710,76.61,22.71,14.43,1.59,0.0
5912,20200903:0810,104.43,31.57,16.57,2.21,0.0
5913,20200903:0910,136.8,39.23,18.5,2.69,0.0
5914,20200903:1010,125.86,44.83,19.88,3.24,0.0
5915,20200903:1110,163.25,47.44,20.93,3.59,0.0
5916,20200903:1210,154.59,46.45,21.57,3.93,0.0
5917,20200903:1310,73.87,42.12,21.58,4.28,0.0
5918,20200903:1410,50.16,35.29,20.63,3.86,0.0
5919,20200903:1510,56.09,26.89,19.86,3.45,0.0
5920,20200903:1610,53.81,17.64,19.78,3.03,0.0
5921,20200903:1710,36.07,8.06,19.5,2.9,0.0
5922,20200903:1810,0.0,0.0,19.17,3.1,0.0
5923,20200903:1910,0.0,0.0,17.52,2.41,0.0
5924,20200903:2010,0.0,0.0,17.7,2.48,0.0
5925,20200903:2110,0.0,0.0,17.77,2.34,0.0
5926,20200903:2210,0.0,0.0,17.81,2.41,0.0
5927,20200903:2310,0.0,0.0,17.91,2.55,0.0
5928,20200904:0010,0.0,0.0,17.75,2.62,0.0
5929,20200904:0110,0.0,0.0,17.92,2.55,0.0
5930,20200904:0210,0.0,0.0,17.62,2.55,0.0
5931,20200904:0310,0.0,0.0,17.28,2.48,0.0
5932,20200904:0410,0.0,0.0,17.02,2.48,0.0
5933,20200904:0510,1.2,3.42,16.9,2.55,0.0
5934,20200904:0610,39.22,13.02,17.42,2.62,0.0
5935,20200904:0710,66.58,22.48,18.66,2.62,0.0
5936,20200904:0810,101.23,31.32,20.33,3.03,0.0
5937,20200904:0910,124.49,38.94,21.59,3.03,0.0
5938,20200904:1010,153.67,44.5,23.44,3.24,0.0
5939,20200904:1110,89.83,47.08,25.42,3.59,0.0
5940,20200904:1210,158.69,46.08,26.57,3.93,0.0
5941,20200904:1310,103.97,41.74,27.32,4.07,0.0
5942,20200904:1410,117.19,34.93,27.7,4.34,0.0
5943,20200904:1510,88.92,26.55,27.35,3.86,0.0
5944,20200904:1610,31.92,17.31,27.19,3.38,0.0
5945,20200904:1710,36.2,7.72,26.31,2.0,0.0
5946,20200904:1810,0.0,0.0,24.74,1.17,0.0
5947,20200904:1910,0.0,0.0,24.2,0.76,0.0
5948,20200904:2010,0.0,0.0,22.44,0.76,0.0
5949,20200904:2110,0.0,0.0,21.53,0.34,0.0
5950,20200904:2210,0.0,0.0,20.84,0.28,0.0
5951,20200904:2310,0.0,0.0,19.9,0.55,0.0
5952,20200905:0010,0.0,0.0,18.97,0.55,0.0
5953,20200905:0110,0.0,0.0,18.31,0.41,0.0
5954,20200905:0210,0.0,0.0,17.36,0.34,0.0
5955,20200905:0310,0.0,0.0,16.66,0.41,0.0
5956,20200905:0410,0.0,0.0,15.73,0.62,0.0
5957,20200905:0510,1.2,3.19,14.11,1.03,0.0
5958,20200905:0610,18.7,12.8,15.64,1.38,0.0
5959,20200905:0710,50.16,22.24,16.95,1.45,0.0
5960,20200905:0810,108.07,31.06,18.38,2.48,0.0
5961,20200905:0910,136.8,38.65,19.78,2.97,0.0
5962,20200905:1010,46.51,44.17,20.54,3.17,0.0
5963,20200905:1110,119.47,46.71,21.06,3.66,0.0
5964,20200905:1210,142.27,45.7,21.0,3.79,0.0
5965,20200905:1310,84.82,41.37,20.59,3.45,0.0
5966,20200905:1410,88.92,34.57,20.37,3.38,0.0
5967,20200905:1510,54.26,26.2,19.94,3.38,0.0
5968,20200905:1610,31.46,16.97,19.32,3.24,0.0
5969,20200905:1710,23.81,7.38,18.71,2.97,0.0
5970,20200905:1810,0.0,0.0,18.06,2.41,0.0
5971,20200905:1910,0.0,0.0,17.81,1.93,0.0
5972,20200905:2010,0.0,0.0,17.33,1.52,0.0
5973,20200905:2110,0.0,0.0,16.78,1.59,0.0
