,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
779,w164087850,176.99086085781457,other,36737.14225688536,40819.046952094846,45921.4278211067,nr1,-61557.24819303148,-72328.63695194309,-10771.388758911606,0.12572303637728258,-60.85844606160083
780,w164087857,77.59434223277493,other,24109.800773329764,26788.66752592196,30137.250966662203,nr1,-40398.70547661456,-47467.73755356577,-7069.032076951211,0.12572303637728258,-91.10241640743409
786,w164088149,49.229225591477004,other,21286.31877086442,23651.465300960463,26607.89846358052,nr1,-35667.64117174904,-41908.823818015575,-6241.182646266534,0.12572303637728258,-126.77799764835346
788,w164088153,80.69597001839429,other,27781.705664881123,30868.561849867914,34727.1320811014,nr1,-46551.39855137515,-54697.03900455998,-8145.640453184831,0.12572303637728258,-100.942345092674
791,w164088159,54.065223559696456,other,20081.382965876724,22312.647739863027,25101.728707345905,nr1,-33648.63457930251,-39536.52812392092,-5887.893544618411,0.12572303637728258,-108.90352720205173
793,w164088169,56.479432658094446,other,21102.867210073688,23447.63023341521,26378.58401259211,nr1,-35360.24727649097,-41547.6416322615,-6187.394355770528,0.12572303637728258,-109.55128379611602
795,w164088175,32.08830586867407,other,11941.609741075375,13268.455267861527,14927.012176344218,nr1,-20009.521413384475,-23510.820453709817,-3501.2990403253425,0.12572303637728258,-109.11448721085195
799,w164088182,35.81288355943252,other,12967.096746907293,14407.885274341435,16208.870933634116,nr1,-21727.841191643565,-25529.814659222648,-3801.9734675790824,0.12572303637728258,-106.16217097597284
800,w359788107,586.4023264580406,other,146810.4064034707,163122.6737816341,183513.00800433836,nr2,-226455.62929172022,-266081.20859143324,-39625.57929971302,0.11573569236600313,-67.5740485871834
801,w377595955,68.13203878551721,other,24308.88740742886,27009.874897143178,30386.109259286077,nr1,-40732.29771036693,-47859.70230626884,-7127.404595901906,0.12572303637728258,-104.6116441391003
802,w377595956,85.03076633159071,other,28030.577557396533,31145.086174885037,35038.22194674567,nr1,-46968.41163172626,-55187.02172110937,-8218.61008938311,0.12572303637728258,-96.65454568918454
805,w377595969,38.68702136902139,other,2894.4481970634965,3216.053552292774,3618.0602463293703,nr0,-5946.88671995287,-6987.482760973958,-1040.5960410210873,0.1541575922682194,-26.89780717660378
814,w377595984,35.49371746703982,other,12098.287784528506,13442.541982809451,15122.859730660632,nr1,-20272.05324397169,-23819.290536766934,-3547.237292795242,0.12572303637728258,-99.93986389532958
818,w377595990,36.364706988167015,other,12163.312041684583,13514.791157427315,15204.140052105728,nr1,-20381.0087612064,-23947.311270008104,-3566.302508801702,0.12572303637728258,-98.07043158527767
819,w377595993,54.98309161569923,other,17829.739949818275,19810.82216646475,22287.17493727284,nr1,-29875.75134814595,-35103.45956580936,-5227.70821766341,0.12572303637728258,-95.07846983582043
823,w377596001,68.93592455182224,other,20456.82124006511,22729.801377850123,25571.026550081388,nr1,-34277.72398597911,-40275.69663195984,-5997.972645980735,0.12572303637728258,-87.00793795072393
825,w377596004,35.535723760165276,other,11584.806978211394,12872.007753568216,14481.008722764242,nr1,-19411.657919376285,-22808.341820010373,-3396.683900634089,0.12572303637728258,-95.58504910604051
827,w377596008,41.66994294051546,other,13882.451560628731,15424.946178476368,17353.064450785914,nr1,-23261.62199198266,-27331.978952267593,-4070.356960284931,0.12572303637728258,-97.68088634283549
